timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_rad_s,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
27122359,4793,6,-0.0580728,-0.0627293,0.0311565,2.87461e-05,-0.000504185,0.000227037,25.2295,34.9066,0.00106422,-0.0741904,-0.00714458,0.0354242,0.0726719,0.0524517,-0.201505,-0.179157,-0.0727347,0.00814598,0.00814598,0.0363417,0.0576261,0.0554977,0.0480481,0.0342133,536887672,4,4,23,75,5
27127209,4850,6,-0.0153439,-0.0736345,0.0440578,2.53032e-05,-0.000425811,0.000277965,25.2356,34.9066,0.00106422,0.0109472,-0.0422638,-0.0390712,0.0301031,0.117369,-0.0684778,-0.116368,-0.124881,-0.0993402,-0.0588999,0.0448555,0.0533692,0.0735894,0.0725252,0.0661399,536898680,-59,-57,53,77,5
27132759,5550,6,0.0361366,-0.0845101,0.0553888,0.000456613,-0.000457856,0.000357972,25.2326,34.9066,0.00106422,0.146103,0.139718,0.0535159,0.0141398,0.0279747,-0.0706063,-0.107854,-0.117432,-0.0833769,-0.0610283,0.0512408,0.0544335,0.0533692,0.0725252,0.0916812,0,-61,27,77,76,5
27137559,4800,6,0.0857085,-0.094957,0.0688516,0.000785514,-0.00065047,0.000375769,25.2264,34.9066,0.00106422,0.118433,0.215277,0.232305,0.165259,0.0758645,-0.0578356,-0.109982,-0.169579,-0.19512,-0.135524,0.0980665,0.0863601,0.0703968,0.0650757,0.0725252,536898680,-131,-18,59,74,5
27141568,4009,6,0.114484,-0.103022,0.078293,0.000559303,-0.000272297,0.000413299,25.2417,34.9066,0.00106422,0.0481948,0.10247,0.209956,0.283387,4.14965e-34,-0.0674136,-0.0248448,-0.0610283,-0.150423,4.2039e-45,0.0916812,0.10658,0.11403,0.112966,4.26581e-34,536871776,-145,-213,97,79,4
27146359,4791,6,0.164979,-0.115757,0.093491,0.00094393,-0.000634941,0.000500821,25.2356,34.9066,0.00106422,0.296158,0.200378,0.15036,0.123754,0.1908,-0.204698,-0.1749,-0.115303,-0.0525145,-0.0557072,0.10658,0.095938,0.100195,0.10658,0.1268,536900584,-56,-126,110,77,5
27151159,4800,6,0.209286,-0.116334,0.113615,0.00131083,-0.000571025,0.000682888,25.2326,34.9066,0.00106422,0.27913,0.329149,0.289773,0.244011,0.202507,-0.105726,-0.153615,-0.153615,-0.107854,-0.0769916,0.138507,0.153406,0.145956,0.143828,0.1268,536871776,-76,-137,110,76,5
27156759,5600,6,0.241846,-0.115214,0.131804,0.00150352,-0.000575882,0.000862931,25.2693,34.9066,0.00106422,0.205699,0.24614,0.311057,0.337663,0.304672,-0.0759274,-0.131267,-0.162129,-0.133395,-0.035487,0.125736,0.131057,0.159791,0.184268,0.195975,536925152,-37,-233,175,88,5
27161559,4800,6,0.268776,-0.10866,0.151958,0.00131649,-0.000683274,0.000760073,25.2723,34.9066,0.00106422,0.282323,0.235497,0.237626,0.297222,0.346176,-0.0163311,-0.0599641,-0.192992,-0.249395,-0.192992,0.183204,0.143828,0.132121,0.151277,0.200232,536871776,-185,-272,179,89,5
27165568,4009,6,0.289591,-0.10617,0.172205,0.00122776,-7.4656e-05,0.000889144,25.254,34.9066,0.00106422,0.361075,0.319571,0.264231,0.244011,1.4013e-41,-0.0503861,0.051779,0.017724,-0.100404,0.0,0.231094,0.244929,0.214066,0.178947,4.14965e-34,536900584,-98,-176,159,83,4
