timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
39122393,5632,6,0.144257,0.218029,-10.8738,0.000359901,0.000700983,-0.0595927,25.8415,78.4532,0.0023942,-5.9767,-1.93473,3.18047,7.07663,1.82757,0.0577501,3.70673,4.33788,-0.131595,-3.75019,-12.5271,-11.0145,-11.0934,-9.30365,-10.2714,966779616,-1895,-765,-4543,275,5
39127209,4816,6,-0.0593792,0.223494,-10.8834,-0.00414885,0.0080498,-0.0523954,25.8354,78.4532,0.0023942,-3.95452,-5.25005,-1.90605,2.20284,4.79152,-4.22004,-0.0591295,5.59083,5.40148,-1.14845,-11.0456,-13.3945,-10.7063,-10.2021,-8.82814,966779616,-782,-2005,-3939,273,5
39131959,4750,6,-0.0574059,0.0413515,-10.8069,-0.0024617,-0.00137965,-0.0518494,25.869,78.4532,0.0023942,0.512915,-3.20875,-1.37302,0.407743,1.28976,-6.33322,-4.6525,1.28265,6.84144,6.32483,-10.6155,-12.0181,-11.5307,-10.6418,-8.84964,966779616,2415,-540,-3948,284,5
39136762,4803,6,-0.0635669,-0.0704195,-10.7752,0.00113476,-0.00883389,-0.0528103,25.8446,78.4532,0.0023942,0.689796,-1.54751,-1.22721,1.84191,2.95339,-0.585087,-8.19628,-6.19063,1.93016,6.66378,-11.1006,-10.7135,-12.0158,-11.4303,-10.7756,966779616,2560,-1236,-4754,276,5
39142359,5597,6,-0.0212933,0.0955667,-10.6316,0.000240771,0.00451177,-0.0588598,25.8599,78.4532,0.0023942,-0.022508,-1.65746,-2.52274,-0.868667,2.81715,6.48379,-0.928713,-6.9223,-4.63613,3.80725,-8.30244,-9.91776,-10.3694,-12.2117,-11.8174,966779616,1338,-1179,-5190,281,5
39147209,4850,6,-0.0095753,0.141989,-10.587,-0.0023175,-0.00523267,-0.0484133,25.8415,78.4532,0.0023942,2.12874,-0.326074,-2.63509,-1.56424,0.448377,7.29026,2.05873,-4.93301,-6.68854,-0.306914,-12.2045,-8.55573,-8.68477,-9.81979,-10.8903,966779616,-422,-188,-4802,275,5
39151959,4750,6,0.175019,0.297423,-10.6262,0.00234177,0.00437343,-0.0516846,25.8354,78.4532,0.0023942,3.36452,2.10723,0.257155,-2.43669,-3.345,6.87183,6.33652,-0.351328,-6.73061,-6.65815,-12.7876,-11.0886,-10.8712,-9.70748,-8.90938,966779616,-3139,1399,-3973,273,5
39156759,4800,6,0.157907,0.35694,-10.5811,0.00442871,0.00854386,-0.0520689,25.8476,78.4532,0.0023942,-0.859106,2.68807,3.16374,1.50966,-0.416904,1.80393,7.88167,6.08406,-2.11387,-8.97938,-8.96912,-12.0946,-12.5606,-11.2439,-10.4626,966779616,-4132,174,-4623,277,5
39162359,5600,6,0.0142007,0.249963,-10.4705,-0.00221123,-0.000377721,-0.0590014,25.8599,78.4532,0.0023942,-2.36498,-1.92039,-0.63203,0.689796,2.75978,-5.49169,3.8353,8.76528,5.24487,-3.39253,-7.67878,-8.47927,-11.5737,-13.4662,-11.6119,966779616,-1742,-1155,-5104,281,5
39167209,4850,6,0.0834636,0.0212218,-10.3721,-0.00440844,0.00413349,-0.046998,25.8721,78.4532,0.0023942,1.76542,0.412523,-1.66224,-3.77525,-1.49492,-8.47913,-4.86054,4.19762,7.88167,3.45895,-9.46375,-8.26182,-8.9046,-10.5319,-10.7899,966779616,1189,625,-4760,285,5
39171959,4750,6,0.302821,-0.0825186,-10.3564,0.00651954,-0.00872129,-0.049789,25.8782,78.4532,0.0023942,3.21154,5.91734,1.61005,-2.52035,-6.11294,-3.19851,-6.25608,-2.73567,1.44394,5.28227,-12.0181,-10.508,-10.0014,-9.04081,-11.4757,966779616,1969,2557,-5047,287,5
39176759,4800,6,0.211547,0.165191,-10.2808,0.00408356,0.00233054,-0.0487054,25.8599,78.4532,0.0023942,-2.34825,3.22588,5.20265,2.91037,-2.53708,4.4758,-1.20922,-3.832,-1.60661,1.6216,-10.9859,-9.05036,-9.82696,-9.33233,-11.8604,966779616,403,1061,-5208,281,5
39182359,5600,6,0.0561876,0.15403,-10.3157,-0.00202837,0.00233043,-0.0573509,25.8384,78.4532,0.0023942,-4.60468,-2.07576,2.3606,3.2211,1.7965,1.00447,0.431765,0.118527,-0.594438,0.12554,-12.5391,-10.3073,-8.39803,-8.83292,-9.06231,966779616,-237,-752,-4037,274,5
39187209,4850,6,0.117492,0.0910207,-10.3532,0.0015614,0.00060963,-0.0483504,25.866,78.4532,0.0023942,-1.64312,-2.60401,0.46989,2.42036,1.67459,0.667861,-0.281201,-1.20689,0.721626,1.91614,-12.6944,-13.33,-10.281,-6.85201,-7.47089,966779616,529,-701,-3371,283,5
39191959,4750,6,0.130617,0.0924411,-10.3464,-0.00226075,-0.00213041,-0.0542863,25.8446,78.4532,0.0023942,0.739992,-2.27893,-2.57294,1.17024,3.60594,1.17746,-0.795471,-1.9666,-0.839885,0.581371,-9.84369,-13.4232,-13.4829,-11.3347,-6.19728,966779616,-42,-1509,-2838,276,5
39196759,4800,6,-0.0910521,0.0876468,-10.1008,-0.00406032,0.00233868,-0.046814,25.8537,78.4532,0.0023942,1.17263,-2.66377,-4.81741,-1.95625,4.27283,2.35794,0.829155,-1.83804,-0.984816,1.32706,-6.38127,-9.22002,-12.0325,-14.3408,-11.3515,966779616,277,-1788,-4995,279,5
39202359,5600,6,-0.0153303,0.043672,-10.0175,-0.00103226,0.000436325,-0.0558885,25.8323,78.4532,0.0023942,6.06793,1.69371,-5.21181,-6.12011,-2.02317,1.97925,-1.07832,-1.23961,-1.30039,0.501892,-9.10054,-6.1925,-8.11128,-11.4925,-13.3109,966779616,-76,846,-5815,272,5
39207209,4850,6,0.334074,0.190486,-10.0714,0.00471472,-0.00196645,-0.0458933,25.8599,78.4532,0.0023942,5.16679,8.47733,3.16852,-4.56643,-8.46976,3.86802,2.47014,-1.47337,-3.56785,-2.58607,-11.8031,-9.04081,-7.88189,-8.07305,-10.6967,966779616,-1397,3543,-4721,281,5
39211959,4750,6,0.344741,0.337598,-10.0408,0.012767,0.0065201,-0.0489322,25.8293,78.4532,0.0023942,-3.49081,4.62898,8.80958,4.69591,-3.20636,1.72445,6.1051,3.16908,-3.68473,-5.15274,-11.4901,-11.1149,-9.84369,-8.03004,-11.1173,966779616,-2495,1341,-4897,271,5
