timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid,quat_reset_counter
73424705,-0.618567,-0.279131,-9.61724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.408492,0.0673141,0.124658,-0.9017,0.0,0.0,0.0,0.0,0.0436125,0.366404,-1.19608,0.0,0,0
73444693,-0.474514,-0.153252,-9.55659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41975,0.0689728,0.123639,-0.89653,0.0,0.0,0.0,0.0,0.0136124,0.353625,-1.19648,0.0,0,0
73464693,-0.378696,-0.260149,-9.60802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.430798,0.0705826,0.123394,-0.891182,0.0,0.0,0.0,0.0,-0.0830842,0.320974,-1.19325,0.0,0,0
73484693,-0.425193,0.00998228,-9.72064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.441826,0.0725886,0.123848,-0.885541,0.0,0.0,0.0,0.0,-0.133682,0.343144,-1.19657,0.0,0,0
73508693,-0.38573,-0.269708,-9.66343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.454824,0.0752908,0.12472,-0.878585,0.0,0.0,0.0,0.0,-0.162487,0.360892,-1.20222,0.0,0,0
73528694,-0.577527,-0.299361,-9.58964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.465697,0.0777801,0.125001,-0.872612,0.0,0.0,0.0,0.0,-0.124363,0.39393,-1.19473,0.0,0,0
73548693,-0.467894,-0.265464,-9.66405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.476479,0.0804102,0.124879,-0.866549,0.0,0.0,0.0,0.0,-0.107732,0.42955,-1.18175,0.0,0,0
73568693,-0.454247,-0.345037,-9.62229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.487164,0.0831568,0.12452,-0.860378,0.0,0.0,0.0,0.0,-0.0952396,0.434553,-1.16626,0.0,0,0
73588693,-0.5844,-0.150881,-9.64699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.497467,0.0857196,0.124253,-0.854248,0.0,0.0,0.0,0.0,-0.0949998,0.403611,-1.15589,0.0,0,0
73612693,-0.391061,-0.220899,-9.81022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.509968,0.088422,0.123953,-0.846611,0.0,0.0,0.0,0.0,-0.0683561,0.379401,-1.15972,0.0,0,0
