timestamp,timestamp_last_valid,channels[0],channels[1],channels[2],channels[3],channels[4],channels[5],channels[6],channels[7],channels[8],channels[9],channels[10],channels[11],channels[12],channels[13],channels[14],channels[15],channels[16],channels[17],frame_drop_count,channel_count,function[0],function[1],function[2],function[3],function[4],function[5],function[6],function[7],function[8],function[9],function[10],function[11],function[12],function[13],function[14],function[15],function[16],function[17],function[18],function[19],function[20],function[21],function[22],rssi,signal_lost
130669883,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130678200,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130686789,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130694177,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130707692,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130714419,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130722662,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130730392,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130741877,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130750639,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130757988,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130770301,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130775529,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130785925,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130793968,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130802628,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130813886,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130822806,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130830104,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130839147,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130849909,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130858177,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130866456,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130876298,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130886618,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130893944,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130903569,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130912470,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130922982,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130930132,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130938205,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130946936,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
130955795,0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,18,2,0,1,3,4,5,5,5,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,255,0
