timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid,quat_reset_counter
131062764,0.038034,0.0776205,-10.1582,-0.00259017,0.050693,-0.0965091,-0.0387695,-0.015822,1.92736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707317,-0.0162748,-0.0178599,-0.706484,0.999153,-0.00386212,-0.0106643,0.0395665,0.00408554,8.09061e-05,-0.000826073,0.390316,0,2
131081263,-0.045644,0.242292,-10.1789,-0.0035374,0.0523237,-0.096788,-0.0392446,-0.0157513,1.9274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707299,-0.0162673,-0.0178403,-0.706502,0.999153,-0.00386212,-0.0106643,0.0395665,0.000398102,0.00124013,-0.00188541,0.410656,0,2
131106831,-0.116342,-0.487186,-9.95763,-0.00395306,0.0513577,-0.0970975,-0.0387459,-0.0154102,1.93044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707266,-0.0162169,-0.017779,-0.706538,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00218811,-0.00385591,-0.0040371,0.404903,0,2
131130802,0.321544,-0.744135,-9.63807,-0.00189843,0.0500356,-0.0962952,-0.0387887,-0.0152326,1.93132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707245,-0.0162342,-0.0177633,-0.706559,0.999153,-0.00386212,-0.0106643,0.0395665,-0.000117725,0.000243267,-0.000613726,0.408023,0,2
131149770,0.0183937,-0.615899,-9.75603,-0.00280529,0.0501217,-0.0970311,-0.0386439,-0.0150405,1.93234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70724,-0.0162596,-0.017726,-0.706564,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00222111,-0.00492502,-0.000140848,0.409729,0,2
131169541,-0.0401307,-0.640758,-9.69616,-0.00362775,0.0504028,-0.0974999,-0.0391868,-0.0149677,1.93181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707241,-0.0162196,-0.0177222,-0.706564,0.999153,-0.00386212,-0.0106643,0.0395665,-0.0039485,-0.00238439,-0.00187426,0.396505,0,2
131193289,0.066441,0.176724,-10.0846,-0.00350968,0.0532458,-0.098713,-0.0392632,-0.0148042,1.93231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707219,-0.0161758,-0.0176771,-0.706588,0.999153,-0.00386212,-0.0106643,0.0395665,0.000844219,-0.00187772,-0.0028694,0.393859,0,2
131213327,0.282186,-0.053351,-9.90847,-0.00239997,0.0524549,-0.0985734,-0.0392519,-0.0145955,1.93296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70722,-0.0161549,-0.0176182,-0.706589,0.999153,-0.00386212,-0.0106643,0.0395665,0.000954606,0.00316205,-0.00579503,0.378155,0,2
131234346,0.113005,-0.446382,-10.064,-0.00221323,0.0519548,-0.0998177,-0.0391965,-0.0143955,1.93323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707184,-0.0161597,-0.0175781,-0.706626,0.999153,-0.00386212,-0.0106643,0.0395665,0.00123868,-0.000344499,0.00345301,0.369495,0,2
131254158,0.223633,-0.440613,-10.0044,-0.002409,0.0498357,-0.0994478,-0.0391252,-0.0142075,1.93348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707196,-0.0161853,-0.0175515,-0.706614,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00162103,-0.00919308,-0.00472822,0.387495,0,2
131274907,-0.160272,-0.185498,-10.1723,-0.00258908,0.0508956,-0.100733,-0.0390191,-0.0140335,1.93368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707179,-0.0161155,-0.0175981,-0.706632,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00355506,0.00193691,0.00230074,0.378395,0,2
131294889,-0.341958,-0.184343,-9.93399,-0.00356172,0.0505927,-0.100544,-0.0389172,-0.0138481,1.93386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707204,-0.0161331,-0.0175926,-0.706606,0.999153,-0.00386212,-0.0106643,0.0395665,0.00249132,-0.00387498,-0.00445605,0.389985,0,2
131318939,0.188333,-0.773683,-9.77875,-0.00258133,0.0497292,-0.10085,-0.039153,-0.0136526,1.93346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70716,-0.0161731,-0.01756,-0.70665,0.999153,-0.00386212,-0.0106643,0.0395665,0.00367801,0.00278588,0.00248408,0.388159,0,2
131338921,-0.292442,-0.965611,-9.82807,-0.00244519,0.0488905,-0.101272,-0.0390879,-0.0134568,1.93381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70718,-0.0161998,-0.0175838,-0.70663,0.999153,-0.00386212,-0.0106643,0.0395665,0.00532888,-0.00454524,-0.00142252,0.407575,0,2
131359404,-0.370388,-0.632761,-9.79971,-0.00392626,0.048833,-0.10203,-0.0389439,-0.0132811,1.93356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707169,-0.0162176,-0.0176153,-0.706639,0.999153,-0.00386212,-0.0106643,0.0395665,0.00242299,-0.00449571,0.001185,0.404754,0,2
131380159,-0.208071,-0.3656,-9.52944,-0.00387601,0.0487888,-0.101547,-0.0388371,-0.0131094,1.93349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707174,-0.0161989,-0.0176264,-0.706635,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00161013,0.00187851,-0.00379598,0.392225,0,2
131403482,0.293212,-0.534798,-9.8234,-0.0016377,0.0497397,-0.101271,-0.0389774,-0.0129425,1.9332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707169,-0.0161872,-0.0175888,-0.706641,0.999153,-0.00386212,-0.0106643,0.0395665,0.000852337,-0.000405453,0.000368479,0.411161,0,2
131422848,0.240665,-0.234751,-9.9472,-0.0015832,0.0495279,-0.102353,-0.0395156,-0.0128659,1.93221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707189,-0.0162427,-0.0175644,-0.70662,0.999153,-0.00386212,-0.0106643,0.0395665,0.00351205,-0.00636602,-0.00283249,0.421498,0,2
131442862,0.0759868,0.342398,-10.0084,-0.00286018,0.0504903,-0.102608,-0.0394958,-0.0126659,1.93233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707195,-0.0161929,-0.0175601,-0.706615,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00498555,0.000950096,-0.00115274,0.440515,0,2
131464162,0.351812,-0.0584057,-9.73967,-0.00135738,0.0510818,-0.102304,-0.0393945,-0.0124903,1.93279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707186,-0.0162063,-0.017546,-0.706624,0.999153,-0.00386212,-0.0106643,0.0395665,0.00338927,-0.00470887,-0.00119841,0.438712,0,2
131488223,-0.558461,-0.613743,-10.0403,-0.00326149,0.0475817,-0.103889,-0.0394263,-0.0123333,1.93292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707196,-0.0162445,-0.0175409,-0.706613,0.999153,-0.00386212,-0.0106643,0.0395665,0.00364268,-0.00164876,-0.000368507,0.455442,0,2
131510869,0.80515,-0.30267,-9.53316,-0.000733482,0.0496054,-0.102696,-0.0394955,-0.0121849,1.93287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707204,-0.0161704,-0.0175698,-0.706607,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00146285,0.00361884,-0.00267125,0.475485,0,2
131531425,0.673324,-0.397452,-9.63733,0.000615507,0.0484566,-0.103113,-0.039474,-0.011972,1.93302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707208,-0.0162157,-0.0175626,-0.706601,0.999153,-0.00386212,-0.0106643,0.0395665,0.00343015,-0.0028188,-0.00100699,0.461326,0,2
131551526,0.14039,-0.0153015,-9.79398,-0.00127631,0.0489413,-0.10396,-0.0393583,-0.0117894,1.9329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707234,-0.0162207,-0.0175858,-0.706575,0.999153,-0.00386212,-0.0106643,0.0395665,0.00183422,0.00247144,0.000336623,0.457698,0,2
131576072,0.0410174,-0.505727,-10.032,-0.000472243,0.0487118,-0.104837,-0.0394812,-0.0116084,1.93247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707208,-0.0162299,-0.0175972,-0.7066,0.999153,-0.00386212,-0.0106643,0.0395665,0.00505158,-0.000353152,-0.0024044,0.448227,0,2
131600043,0.0439748,-0.480605,-9.5589,-0.00141231,0.0476108,-0.105121,-0.0395176,-0.0114353,1.93215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70726,-0.0162789,-0.0176277,-0.706546,0.999153,-0.00386212,-0.0106643,0.0395665,0.0030442,-0.002929,-0.00049443,0.431802,0,2
131619370,0.500102,-0.152374,-9.49208,-0.000740366,0.0482566,-0.105196,-0.039368,-0.0112697,1.93209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707262,-0.0162448,-0.0176334,-0.706545,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00050442,-0.000988516,-0.00422404,0.421295,0,2
131640003,0.442363,-0.394975,-9.5291,0.000229815,0.0486828,-0.105001,-0.0392409,-0.0110877,1.93205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707264,-0.0162602,-0.0176225,-0.706543,0.999153,-0.00386212,-0.0106643,0.0395665,0.00168478,0.00272527,-0.000385067,0.417284,0,2
131659985,0.300234,-0.558465,-9.56442,-0.000659756,0.0468555,-0.10549,-0.0390411,-0.0109324,1.9322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707288,-0.0162898,-0.0176255,-0.706518,0.999153,-0.00386212,-0.0106643,0.0395665,0.0035144,-0.00215271,-0.000346457,0.419046,0,2
131682895,-0.0517892,-0.32709,-10.1731,-0.00138079,0.0490373,-0.107397,-0.0390777,-0.0107812,1.93194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707264,-0.0162329,-0.0176551,-0.706543,0.999153,-0.00386212,-0.0106643,0.0395665,0.000791149,0.00519528,-0.000463807,0.400868,0,2
131703476,-0.196872,-0.719158,-10.1424,-0.000779886,0.0472571,-0.107669,-0.0388324,-0.0106328,1.93227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707284,-0.0162965,-0.0176024,-0.706522,0.999153,-0.00386212,-0.0106643,0.0395665,0.00134339,-0.00480134,-0.00226301,0.414439,0,2
131722867,-0.467874,-0.301234,-10.2632,-0.00189336,0.0480845,-0.10891,-0.0392876,-0.0105585,1.93131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707296,-0.0163277,-0.0176453,-0.706509,0.999153,-0.00386212,-0.0106643,0.0395665,0.00541697,-0.00278756,0.000275244,0.425542,0,2
131742876,-0.354332,-0.25543,-10.1062,-0.00248085,0.0491124,-0.108888,-0.0391486,-0.0104085,1.93166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707301,-0.0163194,-0.0176989,-0.706502,0.999153,-0.00386212,-0.0106643,0.0395665,0.00557254,0.00126441,-0.00169728,0.415819,0,2
131768252,0.225561,-0.564317,-9.64986,-0.000453998,0.0468998,-0.107913,-0.0386169,-0.0101704,1.93312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707324,-0.0163336,-0.0176839,-0.706479,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00154113,-3.34583e-05,-0.00102521,0.40262,0,2
131792057,0.201804,-0.0811474,-10.0283,-0.00144953,0.0492161,-0.108783,-0.0386216,-0.0100447,1.93309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707329,-0.0162872,-0.0176677,-0.706476,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00159219,0.00208217,-0.00335269,0.412869,0,2
131811422,0.131639,-0.342994,-10.1296,-0.000163835,0.0484246,-0.109629,-0.0384518,-0.00990315,1.93314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707332,-0.0162808,-0.0176009,-0.706475,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00496799,-0.000231066,-0.000637818,0.410564,0,2
131831513,-0.552924,-0.125535,-10.1957,-0.0021117,0.0483795,-0.110521,-0.038411,-0.009735,1.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70738,-0.0162657,-0.0176373,-0.706427,0.999153,-0.00386212,-0.0106643,0.0395665,0.00188791,-0.000980452,-0.00224683,0.417645,0,2
131855439,0.227167,-0.638096,-9.55046,-0.000597462,0.0474306,-0.109435,-0.0385133,-0.00959742,1.93292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707375,-0.0162732,-0.0175935,-0.706432,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00236054,-0.000625034,-0.00159191,0.400085,0,2
131875115,-0.254758,-0.846444,-9.79353,-0.00162649,0.0468344,-0.111402,-0.0390448,-0.00951601,1.93199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.707409,-0.0162444,-0.0175932,-0.706399,0.999153,-0.00386212,-0.0106643,0.0395665,-0.00232864,5.84495e-05,-0.00166606,0.415766,0,2
131894889,0.0528348,-0.433257,-9.54654,-0.00186374,0.0479484,-0.111228,-0.0389375,-0.00936482,1.93248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70741,-0.0161955,-0.0176094,-0.706398,0.999153,-0.00386212,-0.0106643,0.0395665,0.000129728,-0.000156472,-0.00308812,0.400366,0,2
