timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
131683466,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131704001,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131723422,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131743654,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131763489,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131787531,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131811921,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131832017,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131851495,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131875737,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131895478,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131915611,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131935529,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131959471,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131979485,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
131999529,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
132019544,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
132043455,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
132064569,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
132084751,-0.0,0.0,1.57023,0.0,0.707306,-0.0,0.0,0.706908,0.0,-1.0,1,0,0,0,0,0,0
