timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
127769401,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
127998958,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
128225452,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
128454794,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
128683754,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
128910772,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
129138516,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
129367375,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
129595307,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
129821114,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
130047032,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
130276675,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
130507622,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
130736468,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
130963842,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
131191730,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
131422099,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
131651518,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
131881913,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
132077438,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
132112047,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
132342419,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
132572294,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
132802452,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
133031334,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
133256458,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
133484384,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
133713431,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
133940801,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
134170953,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
134400665,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
134630090,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
134854871,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
135084372,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
135314060,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
135541586,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
135771238,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
136004181,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
136233578,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
136465636,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
136692145,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
136918735,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
137149116,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
137375712,1,1,0,0,0,16,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
137433600,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
