timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,cell_count,connected,warning
138244478,11.187,10.9778,4.8931,11.0406,63.728,0.69725,3,1,0
138544541,11.814,11.1005,5.4791,8.49212,64.1149,0.752502,3,1,0
138848406,10.626,11.1537,5.2447,7.79622,64.6747,0.77809,3,1,0
139148544,11.748,11.2113,11.6321,7.44779,65.2504,0.810457,3,1,0
139449227,10.802,11.1556,12.6576,9.91334,66.3762,0.800998,3,1,0
139749219,10.703,11.0435,11.3684,10.6766,67.3677,0.750164,3,1,0
140049485,10.483,11.0081,9.0244,10.8769,68.3065,0.743231,3,1,0
140349261,11.154,11.054,7.325,10.2643,69.0924,0.775749,3,1,0
140661227,11.495,11.1143,5.9479,8.45511,69.6078,0.798192,3,1,0
140961237,11.275,11.1524,6.9148,7.3301,70.0748,0.805926,3,1,0
141253485,11.0,11.2225,5.2447,6.9306,70.588,0.838779,3,1,0
141553224,11.473,11.2761,4.9517,6.64882,71.1082,0.863155,3,1,0
141865226,11.286,11.3111,5.5084,6.65064,71.6824,0.87997,3,1,0
142166048,10.505,11.3052,5.1275,6.74929,72.26,0.873178,3,1,0
142466013,11.121,11.2884,8.4677,7.01715,72.8774,0.862808,3,1,0
142765993,11.143,11.2493,8.3798,7.11599,73.4844,0.838361,3,1,0
143066012,11.572,11.1735,12.2474,7.85568,74.2364,0.796069,3,1,0
143366129,11.352,11.1289,11.2512,8.82838,75.1015,0.771945,3,1,0
143665999,11.902,11.1242,9.1416,8.92225,75.8523,0.766493,3,1,0
143966153,11.627,11.145,9.8741,9.00852,76.6117,0.784692,3,1,0
144266043,10.857,11.1695,6.9148,8.5036,77.255,0.802691,3,1,0
144578006,11.099,11.1586,5.3619,7.6965,77.8257,0.788688,3,1,0
144878102,11.143,11.1974,6.446,7.0234,78.3265,0.804498,3,1,0
145178039,11.165,11.2478,5.1568,6.65009,78.839,0.831391,3,1,0
145471076,11.429,11.2462,6.2702,6.46904,79.3416,0.825378,3,1,0
145771266,10.659,11.2644,4.5415,6.3985,79.8644,0.833423,3,1,0
146082897,10.637,11.2942,4.9224,6.26362,80.3938,0.849943,3,1,0
146382804,10.989,11.2904,6.6804,6.23423,80.9045,0.844977,3,1,0
146683086,12.023,11.34,6.6511,6.22355,81.4255,0.873066,3,1,0
146983294,11.396,11.3489,6.3874,6.32212,81.9642,0.878252,3,1,0
147283271,11.561,11.4054,6.0944,5.89879,82.3999,0.909383,3,1,0
147583187,11.429,11.4221,4.102,5.41255,82.7894,0.912552,3,1,0
147883703,12.034,11.449,5.3619,4.81231,83.109,0.918311,3,1,0
148183853,11.88,11.4371,5.5377,4.53721,83.4513,0.90253,3,1,0
148482899,11.66,11.4498,7.2957,4.80571,83.8796,0.907919,3,1,0
148782817,11.462,11.4429,7.7352,5.24571,84.3692,0.906504,3,1,0
149083379,11.374,11.4207,5.6549,5.43287,84.8564,0.896009,3,1,0
149382873,11.418,11.4248,4.6001,5.32152,85.2844,0.898345,3,1,0
149683600,10.978,11.4442,3.3988,5.29616,85.7226,0.910883,3,1,0
149996064,11.726,11.4543,4.8345,5.27746,86.1828,0.917264,3,1,0
150295871,11.935,11.4317,5.7428,5.12579,86.5992,0.898736,3,1,0
150596366,10.989,11.4367,3.809,5.24131,87.044,0.901321,3,1,0
150896620,11.583,11.4278,7.1199,5.42501,87.5169,0.896019,3,1,0
151196969,11.506,11.4169,6.0944,5.6987,88.0298,0.893761,3,1,0
151495602,10.934,11.3904,5.274,5.57469,88.4772,0.879272,3,1,0
151797139,11.341,11.395,6.7097,6.4156,89.1258,0.89363,3,1,0
152095600,10.813,11.3906,4.395,6.52767,89.6907,0.896863,3,1,0
152395620,11.77,11.4167,6.8269,6.0051,90.1211,0.909393,3,1,0
152695605,12.034,11.3983,7.1785,6.06559,90.6305,0.897893,3,1,0
152995625,11.693,11.421,5.6842,5.93004,91.1088,0.91295,3,1,0
153295622,11.44,11.4158,4.7466,5.57103,91.5255,0.905229,3,1,0
153607635,11.165,11.4288,5.4498,5.53325,92.0009,0.910699,3,1,0
153907663,11.352,11.428,6.5925,5.57754,92.4723,0.908542,3,1,0
154207593,11.517,11.4527,6.2702,5.58163,92.9417,0.923391,3,1,0
154508535,11.583,11.4557,5.3912,5.54024,93.3986,0.923503,3,1,0
154808406,10.769,11.4386,4.8638,5.42338,93.8344,0.910732,3,1,0
155108393,11.517,11.4725,5.7428,5.86467,94.3795,0.938056,3,1,0
155408411,10.67,11.4651,7.5008,6.11944,94.9219,0.938751,3,1,0
155708499,12.166,11.4387,10.0206,6.86511,95.5846,0.935261,3,1,0
156008386,10.384,11.3977,7.0613,7.37331,96.261,0.921212,3,1,0
156308393,10.835,11.3556,6.7097,7.75644,96.9606,0.906461,3,1,0
156608419,11.088,11.3323,6.9734,7.89132,97.6411,0.900208,3,1,0
156908569,10.901,11.3072,8.0282,8.02724,98.3248,0.890449,3,1,0
157213710,10.89,11.2974,7.1492,8.16304,99.0374,0.889058,3,1,0
157512400,11.396,11.2664,8.204,8.05198,99.691,0.871132,3,1,0
157812393,11.165,11.2933,7.0027,7.72091,100.298,0.886557,3,1,0
158112406,11.165,11.2987,7.1199,7.47913,100.889,0.886893,3,1,0
158412438,11.044,11.3095,7.2957,7.41107,101.497,0.891182,3,1,0
158725440,11.297,11.3103,8.0282,7.3399,102.125,0.889295,3,1,0
159025617,11.429,11.2822,8.4677,7.28222,102.725,0.868835,3,1,0
159324420,10.681,11.296,4.688,7.24727,103.328,0.876649,3,1,0
159624400,11.132,11.3167,7.7059,7.38729,103.959,0.88934,3,1,0
159924515,11.352,11.3014,6.2995,7.26456,104.553,0.878338,3,1,0
160224478,11.099,11.3275,7.5008,7.2898,105.162,0.895078,3,1,0
160524459,11.825,11.3383,8.7314,7.36721,105.78,0.901754,3,1,0
160825438,11.165,11.3471,7.5008,7.15806,106.357,0.904159,3,1,0
161125196,11.726,11.3302,7.325,7.05263,106.93,0.888547,3,1,0
161425226,11.561,11.3075,7.0613,6.75785,107.459,0.869028,3,1,0
161729234,11.693,11.3109,8.0575,6.77439,108.035,0.868371,3,1,0
162029455,11.132,11.3087,7.1492,6.86225,108.614,0.866928,3,1,0
162329425,11.242,11.3021,7.6766,7.2799,109.277,0.865339,3,1,0
162629425,12.287,11.3159,8.204,7.47296,109.93,0.876437,3,1,0
162930170,11.044,11.2757,5.6549,7.34754,110.527,0.850761,3,1,0
163229998,11.825,11.2876,9.0537,7.54357,111.179,0.859498,3,1,0
163530254,11.341,11.2734,7.2957,7.30612,111.761,0.850695,3,1,0
163833234,11.022,11.2684,6.6218,7.26543,112.366,0.847843,3,1,0
164133201,11.825,11.262,7.325,7.22065,112.969,0.843948,3,1,0
164433247,11.308,11.2717,7.1785,7.19465,113.562,0.850674,3,1,0
164733216,10.296,11.2619,4.8638,7.04216,114.13,0.84434,3,1,0
165045224,10.571,11.2391,5.7721,7.06814,114.746,0.829434,3,1,0
165345221,10.978,11.2723,6.9441,7.21562,115.367,0.851621,3,1,0
165645251,10.67,11.2576,7.3836,7.04027,115.931,0.842013,3,1,0
165945244,11.341,11.241,7.0027,6.89842,116.489,0.831034,3,1,0
166245233,12.023,11.2724,7.8817,6.93965,117.069,0.851952,3,1,0
166545309,11.286,11.2875,7.0613,6.99613,117.662,0.866542,3,1,0
166845800,9.625,10.9518,26.8095,14.7688,119.847,0.740561,3,1,0
167745399,9.218,10.2375,28.128,24.8458,126.878,0.445666,3,1,0
168045374,9.504,10.0987,26.2528,25.24,129.041,0.388972,3,1,0
168345458,11.55,10.1195,1.2892,23.884,130.942,0.394365,3,1,0
168657319,11.363,10.4667,0.586,14.2866,130.978,0.506113,3,1,0
168957357,12.177,10.6277,7.3836,10.9807,131.433,0.526173,3,1,0
169257227,11.495,10.8503,2.1389,7.46902,131.618,0.60488,3,1,0
169549223,10.549,10.8941,4.981,7.15869,132.147,0.583479,3,1,0
169861267,9.416,10.9851,6.739,5.68185,132.446,0.608367,3,1,0
170161261,10.89,10.7449,19.8361,12.6365,134.39,0.510122,3,1,0
170461238,10.285,10.6782,17.8437,14.5578,135.852,0.513862,3,1,0
170762053,10.604,10.6325,12.1595,15.2302,137.232,0.512429,3,1,0
171062013,11.033,10.679,4.6294,13.9197,138.263,0.543338,3,1,0
171362056,11.055,10.7977,8.7607,10.8307,138.762,0.603182,3,1,0
171662021,11.165,10.8584,8.9365,9.7245,139.434,0.628609,3,1,0
171962033,10.516,10.8896,6.4167,8.81841,140.055,0.637765,3,1,0
172262167,10.824,10.9294,6.3288,8.76866,140.783,0.655321,3,1,0
172562012,12.485,11.0023,12.9506,8.50577,141.443,0.699385,3,1,0
172862147,11.033,10.9102,18.3418,11.3315,142.734,0.667979,3,1,0
173162094,10.725,10.8144,16.9647,13.8215,144.209,0.637664,3,1,0
173474119,10.593,10.7068,19.1622,15.7227,145.803,0.590456,3,1,0
173774141,11.847,10.8219,7.9696,12.9993,146.57,0.653573,3,1,0
174074022,11.088,10.9048,8.2626,10.9411,147.221,0.694464,3,1,0
174374035,11.187,10.9942,3.8969,9.07043,147.759,0.733296,3,1,0
174674042,11.924,11.0912,4.9224,6.93188,148.061,0.764037,3,1,0
174974017,11.209,11.1563,5.5084,6.34866,148.506,0.784968,3,1,0
175274065,11.561,11.167,5.2154,6.22452,149.009,0.782078,3,1,0
175574159,11.396,11.1578,8.9951,6.3768,149.556,0.770473,3,1,0
175874185,11.627,11.2005,5.9479,6.46127,150.109,0.796312,3,1,0
176174373,11.231,11.2116,4.6001,6.42738,150.645,0.800928,3,1,0
176475186,11.638,11.2459,6.6218,6.29349,151.153,0.819962,3,1,0
176775212,11.704,11.238,6.3874,6.14164,151.641,0.811639,3,1,0
177085992,10.615,11.2325,4.5708,6.08611,152.163,0.805389,3,1,0
177386224,11.143,11.2819,4.2778,5.7025,152.594,0.831422,3,1,0
177686389,11.693,11.3199,5.8014,5.47782,153.023,0.849747,3,1,0
177987077,10.824,11.2958,4.102,5.26789,153.44,0.828316,3,1,0
178287058,11.275,11.2782,6.8562,5.56384,153.94,0.814823,3,1,0
178587307,11.627,11.2946,5.9186,5.71582,154.434,0.827039,3,1,0
178886012,10.989,11.3088,4.688,5.64316,154.897,0.834704,3,1,0
179185997,11.121,11.2977,5.2154,5.45362,155.328,0.82639,3,1,0
179486081,10.769,11.2762,5.2447,5.66742,155.826,0.813347,3,1,0
179786012,10.692,11.2463,6.4167,6.04618,156.38,0.799262,3,1,0
180086010,10.835,11.2374,5.8014,5.99885,156.874,0.797837,3,1,0
180386046,10.967,11.2266,6.6218,6.42479,157.457,0.796892,3,1,0
180698036,11.11,11.2231,6.9441,6.61903,158.057,0.80166,3,1,0
180998054,11.572,11.151,9.9913,7.26278,158.741,0.765875,3,1,0
181297992,11.638,11.1237,9.0537,8.24243,159.554,0.764923,3,1,0
181597993,10.901,11.1598,5.2447,7.52327,160.097,0.787,3,1,0
181898038,11.836,11.2109,5.0396,6.40278,160.493,0.808163,3,1,0
182198040,11.924,11.2524,6.8269,5.72179,160.879,0.821944,3,1,0
182498016,11.33,11.286,5.8014,5.6583,161.34,0.835852,3,1,0
182798043,10.219,11.2675,15.2946,6.47362,161.964,0.82998,3,1,0
183098050,10.758,11.17,12.4232,9.70376,163.198,0.803897,3,1,0
183398012,10.879,11.1072,10.6945,10.637,164.214,0.788126,3,1,0
183698015,11.649,11.1024,5.0396,9.60726,164.905,0.788614,3,1,0
183998065,11.891,11.1425,6.9148,7.98268,165.362,0.79893,3,1,0
184310054,10.813,11.1691,6.5632,7.19458,165.888,0.801295,3,1,0
184610013,11.495,11.2069,6.3874,6.80774,166.403,0.815441,3,1,0
184910012,11.297,11.223,6.3288,6.71012,166.947,0.820112,3,1,0
185210084,10.813,11.2063,7.4129,6.89304,167.542,0.80807,3,1,0
185510019,10.384,11.1573,7.5008,7.61341,168.253,0.781171,3,1,0
185810012,11.209,11.1684,6.9441,7.73377,168.924,0.790918,3,1,0
186110050,10.725,11.1853,5.4205,7.17094,169.444,0.794627,3,1,0
186410054,11.737,11.1931,8.3212,7.12794,170.027,0.796486,3,1,0
186710111,11.539,11.2118,6.0358,6.91686,170.583,0.806521,3,1,0
187022044,11.77,11.2156,5.9479,6.57493,171.111,0.804338,3,1,0
187322012,10.934,11.2148,6.1823,6.58969,171.66,0.799261,3,1,0
187622012,11.22,11.2548,6.2702,6.63848,172.222,0.822751,3,1,0
187922122,10.802,11.2382,4.7173,5.9538,172.631,0.803426,3,1,0
188222130,12.056,11.228,7.2957,5.66401,173.066,0.791146,3,1,0
188522039,11.77,11.2585,5.8014,5.56743,173.519,0.8072,3,1,0
188822012,10.967,11.2838,5.5377,5.97024,174.067,0.825,3,1,0
189121997,10.802,11.2582,4.8345,5.8879,174.551,0.809185,3,1,0
189422160,10.956,11.2525,5.8307,5.952,175.055,0.806593,3,1,0
189722013,11.352,11.2295,7.7645,6.02777,175.564,0.7952,3,1,0
190022013,11.275,11.2379,6.3581,6.45738,176.158,0.807526,3,1,0
190322040,11.594,11.2218,9.4346,6.73096,176.748,0.803768,3,1,0
190634053,11.891,11.1448,10.0206,7.33519,177.46,0.764142,3,1,0
190934065,11.352,11.1338,9.9034,7.85598,178.177,0.768033,3,1,0
191234048,10.879,11.1073,7.7938,8.29097,178.925,0.762989,3,1,0
191534063,10.483,11.0845,7.8524,8.19785,179.597,0.752633,3,1,0
191834034,11.286,11.081,8.1161,8.3836,180.313,0.753033,3,1,0
192134048,11.583,11.0627,8.0282,8.34345,181.003,0.742562,3,1,0
192434132,11.429,11.0811,5.9186,7.86355,181.603,0.751555,3,1,0
192734059,11.011,11.0988,7.4129,7.43843,182.169,0.758014,3,1,0
193034001,11.88,11.1459,8.8779,7.43784,182.785,0.785442,3,1,0
193334602,11.418,11.1683,8.4091,7.3718,183.393,0.797216,3,1,0
193634273,10.285,11.1326,4.8638,7.23982,183.982,0.770702,3,1,0
193934452,11.704,11.1525,9.4346,7.30153,184.597,0.78209,3,1,0
194246101,11.418,11.1108,8.5849,7.73469,185.32,0.75932,3,1,0
194546603,10.923,11.0702,8.8193,7.91298,186.009,0.737019,3,1,0
194846509,11.352,11.0911,7.1199,7.79313,186.643,0.751367,3,1,0
195146229,10.879,11.1035,7.9696,7.82407,187.295,0.760657,3,1,0
195446198,11.0,11.0982,8.8779,8.16847,188.023,0.760711,3,1,0
195746463,10.428,11.0656,9.7862,8.65412,188.792,0.746422,3,1,0
196047082,11.33,10.9985,11.4563,9.38034,189.664,0.712292,3,1,0
196347118,10.142,10.9559,10.6359,9.96309,190.582,0.687422,3,1,0
196646050,10.692,10.9506,11.134,10.1446,191.453,0.680693,3,1,0
196946019,10.307,10.9541,9.376,10.0419,192.277,0.683293,3,1,0
197245993,11.11,10.982,8.5263,9.61938,193.029,0.701075,3,1,0
197546167,11.649,10.9913,6.7683,8.63559,193.631,0.699904,3,1,0
197859057,11.495,11.0182,6.2702,8.0566,194.256,0.70532,3,1,0
198159637,11.396,11.041,10.3429,7.94303,194.905,0.709146,3,1,0
198458006,11.572,11.0793,7.032,7.70004,195.521,0.724684,3,1,0
198758054,11.385,11.1074,5.6842,6.82839,195.984,0.732079,3,1,0
199058015,11.847,11.1245,6.9734,6.23937,196.427,0.734143,3,1,0
199358082,10.901,11.171,4.7466,5.83954,196.861,0.757781,3,1,0
199658055,11.462,11.2057,5.3326,5.57863,197.295,0.774074,3,1,0
199962014,11.517,11.2468,4.8052,5.3934,197.725,0.796028,3,1,0
200262020,12.023,11.2323,5.9772,5.15627,198.124,0.781778,3,1,0
200562856,11.66,11.2579,6.153,5.22642,198.571,0.795213,3,1,0
200862826,11.616,11.2544,6.3874,5.21684,199.005,0.790157,3,1,0
201162794,11.077,11.2476,5.567,5.25137,199.45,0.783898,3,1,0
201462915,11.11,11.2261,6.5632,5.86309,200.015,0.776002,3,1,0
201763005,11.429,11.1907,9.5225,6.32448,200.594,0.763668,3,1,0
202063278,10.769,11.1594,8.9658,7.1191,201.293,0.75914,3,1,0
202374434,11.308,11.068,10.3722,7.94849,202.08,0.718034,3,1,0
202674501,11.836,11.0513,14.6207,9.27982,203.013,0.728772,3,1,0
202974384,11.088,11.0115,10.1671,9.9096,203.933,0.720835,3,1,0
203274768,10.857,10.992,7.6766,9.48102,204.671,0.713855,3,1,0
203574819,11.748,11.045,7.5008,8.57034,205.272,0.743804,3,1,0
203875302,11.264,11.0786,4.3071,7.12471,205.687,0.748819,3,1,0
204174018,10.714,11.1345,7.1492,6.87965,206.222,0.772951,3,1,0
204474017,11.462,11.1258,7.8524,7.02133,206.826,0.764574,3,1,0
204774014,11.429,11.1374,7.9403,6.99404,207.408,0.770607,3,1,0
205086755,10.857,11.1589,4.395,6.8781,207.998,0.780628,3,1,0
205387212,11.143,11.1917,5.6842,6.42874,208.473,0.794253,3,1,0
205687288,10.945,11.2081,3.7797,5.87671,208.894,0.793472,3,1,0
205985993,11.374,11.238,6.0944,5.79801,209.363,0.805006,3,1,0
206286008,11.385,11.2179,5.7428,6.25344,209.945,0.790785,3,1,0
206586054,10.824,11.2134,5.4498,6.316,210.485,0.78784,3,1,0
206885997,11.55,11.1647,7.7352,6.61766,211.072,0.760636,3,1,0
207185997,10.549,11.1537,4.688,6.45617,211.599,0.753735,3,1,0
207486058,10.461,11.1746,4.7759,6.3588,212.115,0.765549,3,1,0
207786072,10.934,11.1941,6.1823,6.72527,212.721,0.7806,3,1,0
208086013,11.803,11.2217,6.446,6.43498,213.218,0.796039,3,1,0
208386098,11.044,11.2374,6.1823,6.11408,213.684,0.802572,3,1,0
208698012,11.044,11.2012,4.2778,6.21685,214.243,0.777527,3,1,0
208997998,10.846,11.2223,4.7173,6.30058,214.783,0.79038,3,1,0
209298013,11.033,11.2483,4.6294,6.2414,215.298,0.806749,3,1,0
209598012,11.033,11.2275,5.7721,6.08176,215.784,0.792937,3,1,0
209898087,11.594,11.2256,6.2116,6.43072,216.356,0.795823,3,1,0
210198013,11.693,11.2038,7.0613,6.57671,216.921,0.786143,3,1,0
210498163,10.868,11.1555,7.0027,6.60874,217.473,0.758499,3,1,0
210798043,10.769,11.1479,6.0358,7.01809,218.104,0.756971,3,1,0
211098129,10.901,11.1038,5.3619,6.8046,218.647,0.727543,3,1,0
211398049,11.231,11.1431,5.9772,6.58695,219.174,0.751144,3,1,0
211698036,11.209,11.1645,4.981,6.03985,219.613,0.759317,3,1,0
211998098,11.638,11.2205,4.2778,5.36087,219.975,0.782897,3,1,0
212298817,11.836,11.2699,5.3033,5.04364,220.351,0.803434,3,1,0
212599628,11.385,11.3025,0.4688,3.92848,220.549,0.800634,3,1,0
212911727,11.594,11.3769,0.4981,2.54332,220.596,0.808025,3,1,0
213211605,11.88,11.4386,2.9886,1.96186,220.68,0.815362,3,1,0
213511684,10.725,11.367,8.497,4.65095,221.394,0.793042,3,1,0
213811674,10.956,11.2521,11.0168,7.48932,222.37,0.762234,3,1,0
214111725,10.835,11.1814,10.3722,8.61244,223.235,0.75094,3,1,0
214411620,11.143,11.1204,7.8524,8.4177,223.92,0.730389,3,1,0
