timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,R_body[0],R_body[1],R_body[2],R_body[3],R_body[4],R_body[5],R_body[6],R_body[7],R_body[8],q_d[0],q_d[1],q_d[2],q_d[3],q_e[0],q_e[1],q_e[2],q_e[3],thrust,R_valid,q_d_valid,q_e_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
109502259,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638417,0.930199,-0.367036,-0.0038289,0.00121834,-0.00734396,0.999972,0.562557,-0.00156209,-0.00337855,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109522063,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524548,0.930199,-0.36704,-0.00337917,0.00121795,-0.00611968,0.999981,0.562558,-0.00121788,-0.00287234,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109542112,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638417,0.930199,-0.367036,-0.0038289,0.00121834,-0.00734396,0.999972,0.562557,-0.00156209,-0.00337855,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109562270,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524578,0.930199,-0.36704,-0.0033787,0.00121741,-0.00611979,0.999981,0.562558,-0.00121813,-0.00287223,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109592293,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638346,0.930199,-0.367036,-0.00383008,0.00121969,-0.00734373,0.999972,0.562557,-0.00156147,-0.00337884,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109612342,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638336,0.930199,-0.367036,-0.00383024,0.00121989,-0.0073437,0.999972,0.562557,-0.00156138,-0.00337888,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109632614,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638317,0.930199,-0.367036,-0.00383056,0.00122026,-0.00734364,0.999972,0.562557,-0.00156121,-0.00337896,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109652788,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638298,0.930199,-0.367036,-0.00383088,0.00122061,-0.00734358,0.999972,0.562557,-0.00156104,-0.00337903,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109672358,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638302,0.930199,-0.367036,-0.00383082,0.00122055,-0.00734359,0.999972,0.562557,-0.00156107,-0.00337902,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109692363,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524465,0.930199,-0.36704,-0.00338047,0.00121946,-0.00611938,0.999981,0.562558,-0.00121717,-0.00287264,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
