timestamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,rollacc,pitchacc,yawacc,rate_vibration,accel_vibration,mag_vibration,rate_offsets[0],rate_offsets[1],rate_offsets[2],R[0],R[1],R[2],R[3],R[4],R[5],R[6],R[7],R[8],q[0],q[1],q[2],q[3],g_comp[0],g_comp[1],g_comp[2],R_valid,q_valid
109094657,-0.146975,0.0461555,1.94739,-0.000525925,-9.47353e-05,-0.000351019,0.0,0.0,0.0,0.0,0.0,0.0,0.0063933,-0.00259692,0.00190379,-0.367363,-0.917412,-0.152969,0.928933,-0.370073,-0.0114131,-0.0461391,-0.14629,0.988165,-0.55918,0.0603013,0.0477617,-0.82547,0.551829,1.37537,-9.92908,1,1
109102655,-0.14696,0.046168,1.94741,0.000521949,4.94418e-05,0.000308682,0.0,0.0,0.0,0.0,0.0,0.0,0.00639453,-0.00259602,0.00190594,-0.367383,-0.917406,-0.152959,0.928924,-0.370095,-0.0113992,-0.0461516,-0.146275,0.988167,-0.559171,0.0603018,0.0477526,-0.825476,0.523186,1.38514,-9.83947,1,1
109114655,-0.146941,0.0461813,1.94743,-1.43438e-05,-0.000140668,-0.000289626,0.0,0.0,0.0,0.0,0.0,0.0,0.0063958,-0.00259504,0.00190834,-0.367403,-0.9174,-0.152947,0.928916,-0.370117,-0.0113835,-0.0461649,-0.146257,0.988169,-0.559162,0.0603016,0.0477419,-0.825483,0.507574,1.3969,-9.7661,1,1
109122655,-0.146936,0.0461862,1.94743,-0.000155382,-0.000375577,-0.000295616,0.0,0.0,0.0,0.0,0.0,0.0,0.00639642,-0.00259428,0.00190865,-0.367402,-0.917401,-0.152944,0.928915,-0.370117,-0.0113772,-0.0461698,-0.146252,0.988169,-0.559162,0.0603023,0.0477385,-0.825483,0.49785,1.40512,-9.71976,1,1
109134655,-0.146933,0.0461932,1.94743,-0.000297224,0.000174586,-0.000654876,0.0,0.0,0.0,0.0,0.0,0.0,0.00639714,-0.00259336,0.00190946,-0.367404,-0.9174,-0.152943,0.928914,-0.37012,-0.0113698,-0.0461768,-0.146249,0.98817,-0.559161,0.0603041,0.0477351,-0.825484,0.496947,1.41281,-9.742,1,1
109146655,-0.146927,0.0461902,1.94745,0.000338501,-0.00273649,0.00088991,0.0,0.0,0.0,0.0,0.0,0.0,0.00639738,-0.00259284,0.00191157,-0.367421,-0.917394,-0.152937,0.928908,-0.370136,-0.0113733,-0.0461738,-0.146243,0.988171,-0.559154,0.0603009,0.0477342,-0.825489,0.483825,1.44628,-9.78537,1,1
109154655,-0.146942,0.0461772,1.94753,-0.00398715,-0.00118858,0.0109857,0.0,0.0,0.0,0.0,0.0,0.0,0.00639739,-0.00259298,0.00191263,-0.367489,-0.917366,-0.152945,0.928882,-0.370201,-0.0114019,-0.0461608,-0.146258,0.988169,-0.559124,0.0602979,0.0477463,-0.825509,0.445794,1.41154,-9.73258,1,1
109166655,-0.147005,0.0461948,1.9478,-0.00878795,-0.00592471,0.0258182,0.0,0.0,0.0,0.0,0.0,0.0,0.00639859,-0.00259351,0.00191387,-0.367742,-0.917254,-0.153006,0.928781,-0.370453,-0.0114507,-0.0461783,-0.14632,0.988159,-0.559009,0.0603162,0.0477755,-0.825584,0.478559,1.39181,-9.69127,1,1
109178654,-0.147163,0.0461212,1.94815,-0.0159029,-0.00734505,0.0232602,0.0,0.0,0.0,0.0,0.0,0.0,0.00639826,-0.00259402,0.00191612,-0.36807,-0.917103,-0.15312,0.928654,-0.370764,-0.0116308,-0.0461048,-0.146477,0.988139,-0.558862,0.0603217,0.047872,-0.825678,0.374099,1.44527,-9.56017,1,1
109186655,-0.147244,0.0461032,1.94824,-0.00661237,0.000481631,0.00191796,0.0,0.0,0.0,0.0,0.0,0.0,0.00639755,-0.00259614,0.00191746,-0.368152,-0.91706,-0.153186,0.928623,-0.370841,-0.0116905,-0.0460869,-0.146556,0.988128,-0.558824,0.0603347,0.0479129,-0.8257,0.327094,1.5043,-9.69437,1,1
109198655,-0.147258,0.0461324,1.948,0.00464471,0.0139923,-0.0284068,0.0,0.0,0.0,0.0,0.0,0.0,0.00639715,-0.00259829,0.00191866,-0.367934,-0.917143,-0.153213,0.928708,-0.37063,-0.0116332,-0.0461161,-0.14657,0.988125,-0.558919,0.0603563,0.0479037,-0.825635,0.363124,1.3912,-9.50313,1,1
109206655,-0.147126,0.0462728,1.94776,0.0211226,0.0244884,-0.027464,0.0,0.0,0.0,0.0,0.0,0.0,0.00639725,-0.00259986,0.00191962,-0.367706,-0.917245,-0.153146,0.928791,-0.370428,-0.0114183,-0.0462563,-0.146439,0.988138,-0.559018,0.0603831,0.0478025,-0.825571,0.366605,1.46298,-9.71699,1,1
109218655,-0.146957,0.0463858,1.94751,0.00891958,0.00612471,-0.0179992,0.0,0.0,0.0,0.0,0.0,0.0,0.00639961,-0.00259835,0.00192176,-0.367472,-0.917357,-0.153035,0.928878,-0.370216,-0.0112136,-0.0463692,-0.146272,0.988157,-0.559122,0.0603884,0.0476935,-0.825507,0.59627,1.17328,-9.409,1,1
109230655,-0.14683,0.0463595,1.94738,0.00129275,-0.00658962,-0.014304,0.0,0.0,0.0,0.0,0.0,0.0,0.00640435,-0.00259919,0.00192904,-0.367351,-0.917427,-0.15291,0.928927,-0.370094,-0.0111706,-0.0463429,-0.146146,0.988177,-0.55918,0.060345,0.0476443,-0.825473,0.396316,1.2763,-9.6165,1,1
109242655,-0.146831,0.0462861,1.94736,-0.000593258,-0.00336206,-0.00025264,0.0,0.0,0.0,0.0,0.0,0.0,0.00640527,-0.00259974,0.00193218,-0.367336,-0.917437,-0.152885,0.928937,-0.370068,-0.0112359,-0.0462696,-0.146148,0.98818,-0.55919,0.0603157,0.047665,-0.825467,0.425872,1.44856,-9.85643,1,1
109254655,-0.14687,0.0462747,1.94759,-0.00319777,0.000381581,0.0272193,0.0,0.0,0.0,0.0,0.0,0.0,0.00640652,-0.0026016,0.00193365,-0.367549,-0.917347,-0.152913,0.928853,-0.370277,-0.0112957,-0.0462582,-0.146186,0.988175,-0.559095,0.0603163,0.047691,-0.82553,0.458778,1.36837,-9.74857,1,1
109262655,-0.146897,0.04633,1.94786,-0.00852048,-0.000381802,0.0316001,0.0,0.0,0.0,0.0,0.0,0.0,0.00640692,-0.00260058,0.00193551,-0.367797,-0.917241,-0.152955,0.928752,-0.37053,-0.0112958,-0.0463134,-0.146212,0.988169,-0.558982,0.0603401,0.0476945,-0.825605,0.545162,1.4134,-9.72136,1,1
109274656,-0.14706,0.0463382,1.94821,-0.0158684,-0.00542383,0.0223831,0.0,0.0,0.0,0.0,0.0,0.0,0.00640865,-0.00259976,0.00193875,-0.368126,-0.917084,-0.153104,0.928621,-0.370854,-0.0114032,-0.0463216,-0.146374,0.988144,-0.55883,0.0603808,0.0477706,-0.8257,0.450691,1.41645,-9.55787,1,1
109286655,-0.147256,0.0463362,1.94838,-0.0124868,0.00223754,0.00593911,0.0,0.0,0.0,0.0,0.0,0.0,0.00640575,-0.00260087,0.00194087,-0.368282,-0.916991,-0.153281,0.928559,-0.371006,-0.0115033,-0.0463196,-0.146567,0.988116,-0.558755,0.0604306,0.0478569,-0.825743,0.404966,1.52897,-9.75829,1,1
109294655,-0.147323,0.0463445,1.9484,-0.0046073,0.00077025,-0.0027746,0.0,0.0,0.0,0.0,0.0,0.0,0.00640535,-0.0026017,0.00194342,-0.368302,-0.916973,-0.153345,0.928551,-0.371025,-0.0115237,-0.0463279,-0.146633,0.988106,-0.558744,0.0604521,0.0478828,-0.825747,0.463028,1.43881,-9.56992,1,1
109306655,-0.147229,0.046466,1.9483,0.0103834,0.0159302,-0.00822179,0.0,0.0,0.0,0.0,0.0,0.0,0.00640757,-0.00260261,0.00194191,-0.368201,-0.91702,-0.153304,0.928585,-0.370945,-0.0113608,-0.0464493,-0.146539,0.988114,-0.558786,0.0604785,0.0478066,-0.825721,0.355822,1.30294,-10.0036,1,1
109318688,-0.14711,0.0464913,1.94813,0.00733019,0.00175332,-0.020039,0.0,0.0,0.0,0.0,0.0,0.0,0.00641254,-0.00260261,0.00194324,-0.368045,-0.917099,-0.153206,0.928646,-0.370796,-0.0112679,-0.0464745,-0.146422,0.98813,-0.558858,0.0604597,0.0477455,-0.825677,0.538585,1.22381,-9.92433,1,1
109326655,-0.147004,0.046464,1.94794,0.0114792,-0.00123291,-0.0274013,0.0,0.0,0.0,0.0,0.0,0.0,0.00641491,-0.00260324,0.00194512,-0.367867,-0.917188,-0.153101,0.928718,-0.370618,-0.0112241,-0.0464473,-0.146317,0.988147,-0.558942,0.0604234,0.0477034,-0.825626,0.377639,1.33318,-9.8285,1,1
109338655,-0.146859,0.046429,1.94767,0.0150279,0.0086324,-0.0222446,0.0,0.0,0.0,0.0,0.0,0.0,0.00641593,-0.00260455,0.00194642,-0.367621,-0.91731,-0.152959,0.928817,-0.370371,-0.0111622,-0.0464123,-0.146174,0.98817,-0.559057,0.060375,0.0476457,-0.825555,0.468008,1.45199,-10.1852,1,1
109346655,-0.146771,0.0464599,1.94752,0.00678525,0.00523448,-0.0205155,0.0,0.0,0.0,0.0,0.0,0.0,0.00641775,-0.00260506,0.00194906,-0.367478,-0.917379,-0.152891,0.928872,-0.370236,-0.0110779,-0.0464432,-0.146087,0.988181,-0.559121,0.0603667,0.0475961,-0.825514,0.457517,1.29411,-9.90766,1,1
109362655,-0.146666,0.046544,1.94733,0.00151042,0.0065319,-0.0130928,0.0,0.0,0.0,0.0,0.0,0.0,0.00641927,-0.00260634,0.00195625,-0.367298,-0.917462,-0.152828,0.928939,-0.370072,-0.0109324,-0.0465272,-0.145983,0.988192,-0.559201,0.0603766,0.0475234,-0.825464,0.459447,1.49928,-9.94097,1,1
109374654,-0.146711,0.0466118,1.94726,-0.00205257,0.00458298,-0.00448485,0.0,0.0,0.0,0.0,0.0,0.0,0.00641906,-0.0026055,0.00195874,-0.367234,-0.917476,-0.152894,0.928961,-0.370018,-0.0108763,-0.0465949,-0.146027,0.988183,-0.559225,0.0604187,0.0475208,-0.825445,0.442881,1.49111,-9.90872,1,1
109382655,-0.146742,0.0465761,1.94728,-0.00366214,-0.00537897,0.00102618,0.0,0.0,0.0,0.0,0.0,0.0,0.00641858,-0.00260653,0.0019608,-0.367254,-0.917466,-0.15291,0.928955,-0.370032,-0.0109238,-0.0465592,-0.146058,0.98818,-0.559217,0.0604122,0.0475443,-0.825449,0.422283,1.48383,-9.8599,1,1
109394655,-0.146746,0.0465627,1.94733,0.000451948,-0.00133699,0.00483971,0.0,0.0,0.0,0.0,0.0,0.0,0.00641725,-0.00260664,0.00196069,-0.367304,-0.917446,-0.152907,0.928936,-0.370079,-0.0109454,-0.0465459,-0.146061,0.98818,-0.559195,0.0604063,0.0475509,-0.825464,0.404581,1.46832,-9.7745,1,1
109402655,-0.146742,0.0465483,1.94738,-0.00114584,-0.00061523,0.00587698,0.0,0.0,0.0,0.0,0.0,0.0,0.00641849,-0.00260767,0.00196063,-0.367347,-0.91743,-0.152898,0.928919,-0.37012,-0.0109646,-0.0465315,-0.146058,0.988181,-0.559177,0.0603984,0.0475551,-0.825477,0.39962,1.3394,-9.69907,1,1
109414655,-0.146744,0.0465289,1.94741,-0.00423139,-0.00457165,0.000969122,0.0,0.0,0.0,0.0,0.0,0.0,0.00641945,-0.00260789,0.00196043,-0.367378,-0.917419,-0.152892,0.928908,-0.370148,-0.0109881,-0.0465121,-0.14606,0.988182,-0.559164,0.06039,0.0475622,-0.825486,0.456286,1.39131,-9.7587,1,1
109426654,-0.14681,0.0465316,1.94748,-0.00653385,0.00368737,0.00538262,0.0,0.0,0.0,0.0,0.0,0.0,0.00642072,-0.00260957,0.0019631,-0.367445,-0.917382,-0.152953,0.928882,-0.370213,-0.0110209,-0.0465148,-0.146125,0.988172,-0.559132,0.0604079,0.0475908,-0.825504,0.377137,1.40992,-9.73369,1,1
109434655,-0.14685,0.0465791,1.94756,-0.00472772,0.00769586,0.00623662,0.0,0.0,0.0,0.0,0.0,0.0,0.00642088,-0.00261061,0.00196585,-0.367511,-0.917347,-0.153006,0.928853,-0.370285,-0.011003,-0.0465623,-0.146164,0.988164,-0.559099,0.0604368,0.047596,-0.825524,0.47617,1.41874,-9.77434,1,1
