timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid
216995455,-0.375935,-1.24769,-9.5715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.846299,-0.05046,0.00469869,-0.530292,-0.274242,0.10227,0.113946,0.0,0
217015455,-0.515944,-1.50472,-9.56701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.845824,-0.0477611,0.00436944,-0.531302,-0.181352,0.183254,0.118382,0.0,0
217035455,-0.6176,-0.793828,-9.07187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.845224,-0.0458765,0.00282219,-0.532431,-0.0298758,0.238299,0.128846,0.0,0
217055455,-0.661401,-0.467639,-9.01346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.844495,-0.0451783,0.000474575,-0.533654,0.100307,0.234073,0.13247,0.0,0
217079455,-0.493937,-1.39682,-9.23804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.843502,-0.0454336,-0.00238731,-0.535196,0.125266,0.202546,0.127645,0.0,0
217099455,-0.531666,-0.304218,-9.04874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.842765,-0.0458131,-0.00398521,-0.536314,0.0871657,0.15688,0.124772,0.0,0
217119455,-0.758338,-1.15013,-8.84026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.841983,-0.0457962,-0.00539166,-0.53753,-0.0199082,0.169538,0.123563,0.0,0
217139455,-0.347676,-0.696218,-8.96505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.841366,-0.0450032,-0.00641407,-0.53855,-0.11728,0.111921,0.12062,0.0,0
217163455,-0.543783,-1.22612,-8.73045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.840674,-0.0435445,-0.00694336,-0.539744,-0.157476,0.0891797,0.121223,0.0,0
217183456,-0.511675,-1.15897,-8.53156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.840053,-0.0422695,-0.00723823,-0.540806,-0.0922504,0.083959,0.114136,0.0,0
217203455,-0.476088,-1.00049,-8.66399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.839458,-0.0415636,-0.00790145,-0.541776,0.0141139,0.0948965,0.102022,0.0,0
217223455,-0.49594,-1.33825,-8.45761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.838884,-0.0411259,-0.00911703,-0.542678,0.0450507,0.130779,0.0940651,0.0,0
217247455,-0.552154,-1.17196,-8.42702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.838217,-0.040153,-0.0108547,-0.543748,0.00972883,0.170856,0.0963247,0.0,0
217267455,-0.619901,-1.43707,-8.40259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.837665,-0.0390277,-0.0120365,-0.544655,-0.018665,0.126816,0.0985974,0.0,0
217287455,-0.766587,-0.77733,-8.43313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.837116,-0.0381994,-0.0125613,-0.545545,-0.0197233,0.0702058,0.0996389,0.0,0
217307464,-0.580776,-1.38892,-8.70146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.836575,-0.0374753,-0.0128771,-0.546418,-0.0604429,0.0778482,0.10147,0.0,0
217331455,-0.666487,-1.18935,-8.73326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.835849,-0.0367686,-0.0141052,-0.547545,-0.0270302,0.119445,0.110837,0.0,0
217351455,-0.657731,-1.02816,-8.88511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.835208,-0.0364093,-0.0159764,-0.548494,0.00901995,0.153082,0.106866,0.0,0
217371455,-0.592355,-0.676653,-9.52814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.834585,-0.0360076,-0.0174565,-0.549425,-0.00468175,0.0817156,0.111084,0.0,0
217391455,-0.604233,-0.500344,-9.80771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.833946,-0.0355554,-0.0174344,-0.550424,-0.0846603,-0.047817,0.117255,0.0,0
