timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
203706384,203705859,0.0141425,-0.0615074,-0.0210938,0.364497,0.0,0.0,0.0,0.0
203726423,203725858,0.0150759,-0.0978669,-0.0239345,0.362919,0.0,0.0,0.0,0.0
203746384,203745855,-0.0159824,-0.112251,-0.0301285,0.359763,0.0,0.0,0.0,0.0
203766586,203765855,-0.0543869,-0.0947497,-0.0291999,0.357396,0.0,0.0,0.0,0.0
203790429,203789855,-0.00643199,-0.0389077,-0.021189,0.35503,0.0,0.0,0.0,0.0
203810374,203809855,-0.0135848,-0.0333108,-0.0179842,0.35503,0.0,0.0,0.0,0.0
203830377,203829855,-0.00724983,-0.0255193,-0.0152556,0.353452,0.0,0.0,0.0,0.0
203850407,203849855,-0.0139946,-0.0543104,-0.0137262,0.353452,0.0,0.0,0.0,0.0
203870498,203869858,-0.0179982,-0.0832898,-0.00964883,0.353452,0.0,0.0,0.0,0.0
203895928,203893861,-0.0142015,-0.0828649,-0.00902509,0.353452,0.0,0.0,0.0,0.0
203915993,203913857,-0.00803169,-0.0817247,-0.00898517,0.353452,0.0,0.0,0.0,0.0
203936176,203933855,-0.0165224,-0.103174,-0.008515,0.353452,0.0,0.0,0.0,0.0
203958442,203957855,0.0297623,-0.0763746,-0.00552966,0.353452,0.0,0.0,0.0,0.0
203978382,203977855,0.0430476,-0.0887488,-0.00737091,0.353452,0.0,0.0,0.0,0.0
203998299,203997856,0.0201482,-0.133722,-0.0121416,0.360552,0.0,0.0,0.0,0.0
204018407,204017855,0.011553,-0.120497,-0.0131727,0.365286,0.0,0.0,0.0,0.0
204042383,204041855,0.023701,-0.0698101,-0.0107686,0.366864,0.0,0.0,0.0,0.0
204062288,204061855,-0.041211,-0.0442333,-0.00695102,0.366864,0.0,0.0,0.0,0.0
204082429,204081855,-0.10592,0.0152195,-0.001367,0.366864,0.0,0.0,0.0,0.0
204102393,204101855,-0.128109,0.0242656,0.00715749,0.366864,0.0,0.0,0.0,0.0
204126292,204125855,-0.0780318,-0.0698644,0.00525569,0.366864,0.0,0.0,0.0,0.0
204146579,204145855,-0.00354121,-0.122815,0.00401592,0.367653,0.0,0.0,0.0,0.0
204166598,204165855,0.046537,-0.148103,0.00297542,0.369231,0.0,0.0,0.0,0.0
204186450,204185855,0.0249811,-0.122559,0.00174502,0.381065,0.0,0.0,0.0,0.0
204210432,204209855,-0.0459969,-0.0526047,0.00301279,0.392899,0.0,0.0,0.0,0.0
204230403,204229855,-0.0719074,-0.00863332,0.00654691,0.396055,0.0,0.0,0.0,0.0
204250379,204249855,-0.0772019,-0.0169311,0.0179195,0.396055,0.0,0.0,0.0,0.0
204270389,204269855,-0.052998,-0.0582783,0.0216676,0.396055,0.0,0.0,0.0,0.0
204294742,204293901,-0.000637305,-0.119373,0.0214557,0.394477,0.0,0.0,0.0,0.0
204318450,204317857,0.0329335,-0.108633,0.020501,0.395266,0.0,0.0,0.0,0.0
204338415,204337855,0.0257097,-0.110791,0.0226273,0.394477,0.0,0.0,0.0,0.0
204358547,204357855,-0.0279618,-0.0899065,0.0219867,0.394477,0.0,0.0,0.0,0.0
204382423,204381855,-0.0529564,-0.034008,0.0214606,0.395266,0.0,0.0,0.0,0.0
204402606,204401856,-0.0616345,-0.0728104,0.0228702,0.395266,0.0,0.0,0.0,0.0
204422359,204421855,-0.0263318,-0.0856252,0.0236087,0.395266,0.0,0.0,0.0,0.0
204442575,204441855,0.0204077,-0.0996753,0.0281602,0.395266,0.0,0.0,0.0,0.0
204462367,204461855,-0.0166045,-0.117063,0.0327593,0.394477,0.0,0.0,0.0,0.0
204486987,204485855,-0.0402961,-0.0660029,0.0318359,0.395266,0.0,0.0,0.0,0.0
204507232,204505855,-0.0876008,-0.0523259,0.0291229,0.394477,0.0,0.0,0.0,0.0
204527330,204525855,-0.139866,-0.0428484,0.0288423,0.395266,0.0,0.0,0.0,0.0
204550369,204549855,-0.0694367,-0.100487,0.0311255,0.394477,0.0,0.0,0.0,0.0
204570386,204569855,0.00892527,-0.144008,0.0288994,0.394477,0.0,0.0,0.0,0.0
204590383,204589855,0.0610728,-0.175599,0.0255738,0.394477,0.0,0.0,0.0,0.0
204610540,204609855,0.00328775,-0.154282,0.0222635,0.396055,0.0,0.0,0.0,0.0
204634515,204633858,-0.0461278,-0.09563,0.022982,0.394477,0.0,0.0,0.0,0.0
204654383,204653855,-0.0703367,-0.0374571,0.027539,0.394477,0.0,0.0,0.0,0.0
204674418,204673855,-0.0992208,-0.0731194,0.0313095,0.394477,0.0,0.0,0.0,0.0
204694581,204693855,-0.012272,-0.0955874,0.0305879,0.394477,0.0,0.0,0.0,0.0
204718431,204717887,0.0226759,-0.129317,0.0240068,0.394477,0.0,0.0,0.0,0.0
204738408,204737855,0.0140299,-0.130448,0.0170766,0.392899,0.0,0.0,0.0,0.0
204758389,204757855,0.0244515,-0.104726,0.0143677,0.394477,0.0,0.0,0.0,0.0
204778722,204777865,0.0152357,-0.0946065,0.0125909,0.394477,0.0,0.0,0.0,0.0
204802374,204801855,-0.0328576,-0.08905,0.0169455,0.394477,0.0,0.0,0.0,0.0
204822777,204821855,0.046723,-0.0918825,0.0130513,0.394477,0.0,0.0,0.0,0.0
