timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
54363729,5.01929,0,1,1,0,0
54663732,5.01606,0,1,1,0,0
54963777,4.99028,0,1,1,0,0
55263729,5.01445,0,1,1,0,0
55563730,5.02251,0,1,1,0,0
55863729,4.98867,0,1,1,0,0
56163731,5.0209,0,1,1,0,0
56463729,5.01929,0,1,1,0,0
56763729,4.98867,0,1,1,0,0
57073729,5.01929,0,1,1,0,0
57373729,4.99028,0,1,1,0,0
57673733,5.01606,0,1,1,0,0
57973730,5.01768,0,1,1,0,0
58273729,4.99028,0,1,1,0,0
58573729,5.0064,0,1,1,0,0
58873730,5.01768,0,1,1,0,0
59173729,4.98706,0,1,1,0,0
59473731,5.01445,0,1,1,0,0
59773731,5.01768,0,1,1,0,0
60083729,4.99673,0,1,1,0,0
60383729,5.0209,0,1,1,0,0
60683729,5.02412,0,1,1,0,0
60983771,4.98706,0,1,1,0,0
61283731,5.01445,0,1,1,0,0
61583729,5.01606,0,1,1,0,0
61883730,4.99189,0,1,1,0,0
62183732,5.01768,0,1,1,0,0
62483729,5.01123,0,1,1,0,0
62783729,5.00317,0,1,1,0,0
63093729,5.01929,0,1,1,0,0
63393730,5.01284,0,1,1,0,0
63693730,4.99028,0,1,1,0,0
63993730,5.01284,0,1,1,0,0
64293730,5.00962,0,1,1,0,0
64593730,4.99351,0,1,1,0,0
64893730,5.01284,0,1,1,0,0
65193730,5.01768,0,1,1,0,0
65493729,4.99028,0,1,1,0,0
65793729,5.01123,0,1,1,0,0
66103733,4.98545,0,1,1,0,0
66403729,5.01123,0,1,1,0,0
66703729,5.01606,0,1,1,0,0
67003771,4.99028,0,1,1,0,0
67303729,5.01606,0,1,1,0,0
67603729,5.00801,0,1,1,0,0
67903730,4.99189,0,1,1,0,0
68203731,5.01284,0,1,1,0,0
68503730,5.01768,0,1,1,0,0
68803730,4.99834,0,1,1,0,0
69113762,5.01123,0,1,1,0,0
69413730,5.01606,0,1,1,0,0
69713730,4.99028,0,1,1,0,0
70013730,5.01606,0,1,1,0,0
70313730,5.01768,0,1,1,0,0
70613729,4.98062,0,1,1,0,0
70913729,5.01929,0,1,1,0,0
71213729,5.01929,0,1,1,0,0
71513729,4.99512,0,1,1,0,0
71813729,5.01284,0,1,1,0,0
72123750,5.01445,0,1,1,0,0
72423730,4.98223,0,1,1,0,0
72723731,5.01284,0,1,1,0,0
73023771,5.01284,0,1,1,0,0
73323729,4.97739,0,1,1,0,0
73623731,5.01606,0,1,1,0,0
73923729,5.0209,0,1,1,0,0
74223729,4.98384,0,1,1,0,0
74523730,5.01768,0,1,1,0,0
74823729,5.01768,0,1,1,0,0
75133730,5.01606,0,1,1,0,0
75433730,5.00962,0,1,1,0,0
75733738,4.98223,0,1,1,0,0
