timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
67382270,-0.274114,0.0203361,0.00480656,-0.53249,-0.0569155,0.0268862,0.844093
67394263,-0.405992,0.0250536,-0.000369929,-0.532633,-0.0558461,0.024942,0.844133
67402264,-0.499174,0.0243016,-0.00447922,-0.532779,-0.0548864,0.0232465,0.844153
67414270,-0.637134,0.0211953,-0.0146006,-0.533077,-0.0530781,0.020131,0.84416
67426264,-0.750298,0.0185367,-0.0215895,-0.533303,-0.0507817,0.0162642,0.844242
67434264,-0.810201,0.0136906,-0.0195933,-0.5335,-0.0491693,0.0136096,0.84426
67446270,-0.903342,0.000543425,-0.0222387,-0.533791,-0.0464043,0.0091873,0.844292
67458268,-0.981368,-0.0159095,-0.0271547,-0.534007,-0.0432832,0.00436622,0.84436
67466263,-1.01888,-0.0256408,-0.0346839,-0.534219,-0.0410284,0.000974244,0.84435
67478270,-1.03173,-0.0293762,-0.0359925,-0.534014,-0.0375907,-0.00411119,0.84463
67486270,-1.00096,-0.0288067,-0.028763,-0.53416,-0.0353222,-0.00745555,0.844612
67498263,-0.883799,-0.0172716,-0.0112985,-0.534357,-0.0322438,-0.0120608,0.844557
67510273,-0.689137,-0.00921733,0.0108905,-0.534424,-0.0297475,-0.0158834,0.844543
67522266,-0.457818,0.00160092,0.0159759,-0.534264,-0.0280524,-0.0184991,0.84465
67534273,-0.235177,0.00855451,0.0128851,-0.534524,-0.0271462,-0.0199884,0.84448
67542270,-0.10731,0.00758667,0.0109891,-0.534711,-0.0269023,-0.0204168,0.84436
67554263,0.0381467,-0.000423226,0.0120054,-0.534935,-0.0269285,-0.0203934,0.844218
67566270,0.119925,-0.00658477,0.010677,-0.535121,-0.0272408,-0.0198261,0.844103
67574270,0.142219,-0.00368651,0.0134199,-0.53519,-0.0275358,-0.0193079,0.844062
67586263,0.14027,-0.0100184,0.0225109,-0.535344,-0.027996,-0.0184901,0.843968
67598291,0.126071,-0.0251034,0.0172559,-0.535506,-0.02834,-0.0177024,0.84387
67606271,0.110396,-0.0284758,0.0092851,-0.535491,-0.0285119,-0.0172148,0.843884
67618263,0.0847954,-0.0220352,0.00520185,-0.535557,-0.0287143,-0.0166011,0.843848
67626264,0.0726741,-0.014614,0.00341647,-0.535513,-0.0288375,-0.0162641,0.843878
67638270,0.0647231,-6.99435e-06,-0.00314074,-0.5355,-0.0290482,-0.0158618,0.843887
67650263,0.0719453,0.00301313,0.000440888,-0.535082,-0.0293146,-0.0154589,0.84415
67658270,0.083186,-0.00105004,0.00880926,-0.535172,-0.0294997,-0.0151502,0.844092
67674263,0.121735,-0.0210159,0.0244258,-0.535396,-0.0299056,-0.0143086,0.84395
67682263,0.140341,-0.0323267,0.0296887,-0.535578,-0.0301233,-0.013737,0.843836
67694273,0.154486,-0.0460792,0.0260826,-0.535825,-0.0304224,-0.0127916,0.843684
67706263,0.140266,-0.0560577,0.00865477,-0.535941,-0.0306469,-0.0118375,0.843616
67714268,0.11164,-0.0547763,0.000759433,-0.535744,-0.0307322,-0.0112799,0.843746
67726272,0.0625314,-0.0425046,0.00179223,-0.535825,-0.0307703,-0.0106808,0.843701
67738286,0.027227,-0.0289897,0.0035574,-0.535901,-0.0307415,-0.0103502,0.843657
67746264,0.017775,-0.0243813,0.00565533,-0.535887,-0.0307128,-0.0101958,0.843669
67758276,0.0173844,-0.0222698,0.0106059,-0.536087,-0.0306592,-0.00999945,0.843547
67766270,0.0243211,-0.0173165,0.00912621,-0.536045,-0.0306587,-0.00985007,0.843575
67778264,0.0289896,-0.00750996,-0.00349487,-0.535816,-0.0307183,-0.00962058,0.843721
67790270,0.0196226,0.0140769,-0.00340387,-0.535756,-0.0308514,-0.00947661,0.843756
67798270,0.0117915,0.034069,0.00232746,-0.535491,-0.0309911,-0.00945388,0.843919
67810272,0.00222679,0.0694389,0.0030577,-0.535238,-0.0313121,-0.00956357,0.844067
67818263,0.00518486,0.0911049,-0.000102267,-0.535266,-0.0316215,-0.00970778,0.844036
